title,critics_consensus,date,duration,genre,rating,amount_reviews,images
his,,2020-10-08,片長：02時07分,劇情,3.5,88,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\his.jpg
無價之保,★ 討債變養孩擔保品 變脫油瓶！ ★ 韓國影視天后河智苑 回歸大銀幕！ ★ 國民爸爸成東鎰 化身討債大叔！ ★ 新秀童星朴昭怡 萌度破表！  1993年仁川，粗魯又不好相處的高利貸業者頭石（成東鎰 飾）和宗培（金熙元 飾）想拿回欠債，卻意外地帶回九歲的承怡（朴昭怡 飾）作為擔保。  「擔保是什麼意思？」不知道什麼意思就成為擔保的承怡，因承怡媽媽遭到遣返，頭石和宗培必須負責把孩子送給別人領養。本以為承怡被有錢人家領養，卻發現送到不是原先想像的地方，兩人決定把承怡帶回家照顧。突然接管小孩，必須擔保小孩人生的頭石和宗培，與因欠債而被作為擔保的承怡，頭石、宗培、承怡這三個人，不知不覺成為彼此很特別的存在。 去討債卻遇到人生的寶貝！ 今年秋天，「擔保」將成為「寶貝」！  【關於製作】  打造出《機密同盟》、《國際市場：半世紀的諾言》、《喜馬拉雅：返家之路》、《那才是我的世界》等無數賣座電影的JK Film，這次以溫馨療癒的感動新作《無價之保》和觀眾見面。JK Film以訴求滿滿父愛的《國際市場：半世紀的諾言》；詼諧描繪南北韓刑警協同辦案的《機密同盟》；真實事件改編，挑戰遠征高峰的《喜馬拉雅：返家之路》；前拳擊手哥哥和罹患學者症候群的弟弟，開啟一段與眾不同人生的《那才是我的世界》等，透過有趣的劇情，引發群體共鳴，受到廣大觀眾的喜愛。 JK Film在2020年帶給觀眾療癒系新片《無價之保》，訴說著冷酷無情的高利貸業者「頭石」和他的後輩「宗培」，為了去討回欠債，卻意外以九歲的女孩「承怡」作為擔保，及其養育過程中所發生的故事。前往討債的高利貸業者「頭石」和「宗培」，偶然間以孩子作為擔保的獨特設定，引發觀眾的好奇。在電影《美麗的和聲》中使用溫暖的視角，引發在觀眾引發共鳴的導演姜大奎，再次發揮了細膩的執導能力，更增添了對《無價之保》的期待。  一開始讀了劇本後，飾演大人「承怡」的河智苑就感動的流下了淚水，她表示：「觀眾看了《無價之保》之後，一定能夠深刻地感到共鳴，本片是這個時代必不可或缺的電影。」表達出毫不猶豫接演電影的原因。飾演「頭石」的成東鎰表示：「我有自信到可以用我的三個小孩保證，我也很想讓我的小孩看這部電影。」如此表達出強烈的自信，令人更加期待這部電影。像這樣討喜且擁有溫暖魅力的2020療癒系電影《無價之保》，將於今年秋天溫暖上映，不僅給觀眾帶來幸福的微笑，更能讓各年齡層都能感到共鳴，傳遞真誠的感動，留下令人回味的餘韻。 ,2020-10-08,片長：01時53分,,4.3,100,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\無價之保.jpg
恐怖份子製造國度,★ 啟發自逾上百件美國種族議題真實事件 ★《四個傻瓜》導演最新黑色喜劇鉅作 ★ 2019 SXSW美國南方音樂節  摩西是一名生活在邁阿密、思想頗具革命性的非洲裔美國傳教士，為了保護家人免於被驅逐出境，他被迫參與一項武器協議，然而，這項協議卻是美國聯邦調查局設下的虛假行動，透過計畫汙衊摩西為不法份子，進而釣出國內的中東恐怖份子。不過，另聯邦調查局意外的是，儘管摩西是聲量龐大的國家革命者，卻堅定地信奉和平主義，聯邦調查局只好與他合作，展開一場貓捉老鼠般的釣魚執法行動… ,2020-10-08,片長：01時28分,喜劇,4.1,98,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\恐怖份子製造國度.jpg
千年一問,"「一個人創造一個江湖，鄭問的作品，讓我們跟千古英雄有了共同的呼吸。」  鄭問為風靡全亞洲之漫畫巨擘，其融合水墨藝術與西方繪畫技巧之美學獨樹一幟，加以對創作媒材、技法不拘一格的靈活運用，迄今尚無人能超越。他對歷史、社會、人性的觀察與思考，亦透過其畫技與構圖的掌控力，鎔鑄成獨樹一幟的「鄭問美學」。  鄭問的職業生涯足跡遍佈臺灣、日本、香港、中國等地，亦為臺灣極少數同時親身參與日本、香港、中國動漫與遊戲產業運作之重量級漫畫家；1990年代在日本發表作品引起轟動，以《東周英雄傳》獲得日本漫畫家協會「優秀賞」。  耗時2年，王婉柔導演帶著拍攝團隊踏上15,000公里的飛行航程，橫跨台灣、香港、日本和中國訪談超過 50 位漫畫及出版界人士。期以鄭問之生涯及創作為經緯，重現老師之精神與美學，將鄭問超越時代的藝術成就，透過影像設計與人物訪談，令其帶給後世之影響力予以持續擴散。",2020-10-08,片長：02時15分,,4.1,86,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\千年一問.jpg
星際效應,故事描述一群探險家運用新發現的蟲洞，計劃一場遠超越過去人類太空旅行極限，展開一場遙遠距離的星際航行。該片請來蟲洞理論大師基普索恩作為顧問。主要演員包含馬修麥康納、安海瑟威、潔西卡雀絲坦及米高肯恩。,2020-10-08,片長：02時49分,科幻,4.1,90,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\星際效應.jpg
辛比的怪怪屋,「別嚇到了，我們是『辛比的怪怪屋：幽靈獵人』！  荷里、斗里在與家人寒假出遊的飛機途中，拯救了落難的天空精靈金比，卻意外招喚其他不知名的怪物襲擊，但最大的危機，是傳說中的飛天巨獸耶夢加得，如果耶夢加得甦醒了，人類世界後果將不堪設想。驅魔師，同時也是荷里好友的強林受召喚前來相救，斗里也緊急請來辛比幫忙，但耶夢加得為強取天空精靈，已開始發動攻擊，天境之城面臨危機，鬼神球、天空防護罩，這群小小英雄必須要前往更高的雲端之上，阻止這座城市、甚至是地球毀滅的發生……今年十月，最刺激的冒險旅程即將展開，拿出勇氣為你心愛的人決鬥吧！ ,2020-10-08,片長：01時37分,,0.0,67,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\辛比的怪怪屋劇場版：幽靈獵人天空大進擊.jpg
倒數反擊,★ 《即刻救援》地表最強硬漢連恩尼遜再次提槍上陣！ ★ 《會計師》製作團隊打造，今年最緊張、過癮的犯罪動作鉅作！ ★ 黑警槍戰、飛車追逐、炸彈爆破，刺激場面讓你腎上腺素飆到最高點！  湯姆（連恩尼遜 飾）是名海軍陸戰隊退役的拆彈專家、同時也是個連續盜取了12家銀行偷得900萬美元現鈔的神鬼大盜，卻在愛上了一位女子安妮（凱特沃許飾）後，決定洗心革面坦白自己的犯罪前科，來換取未來的自由。正當湯姆準備自首時，竟被兩位貪圖鉅款的FBI探員尼文斯（傑寇特尼 飾）、霍爾（安東尼拉莫斯 飾）誣陷殺警。一夜之間，湯姆被聯邦調查局布下天羅地網通緝，為了找回屬於自己的清白，湯姆決定奮力一搏誓死反擊，讓罪有應得的FBI探員付出慘痛的代價！,2020-10-08,片長：01時39分,劇情,3.6,98,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\倒數反擊.jpg
刑警沒有假期,★《鋼鐵雨：深潛行動》郭到元 ×《機智醫生生活》金大明 展開一場無厘頭機智搜索行動！ ★愉快的菲律賓之旅竟離奇變調，一名鄉下刑警竟捲入國際犯罪！  洪邊秀（郭到元 飾）是一名鄉下刑警，人生第一次海外旅行地為菲律賓。當邊秀在菲律賓沉浸於度假的美夢時，卻意外掉入犯罪組織殺手「派翠克」（金熙沅 飾）所設的局，成為殺人嫌犯。為了洗去罪嫌，他和當地的導遊，同時也是自己故鄉後輩的滿哲（金大明 飾），一起調查整起事件，但邊秀的體力與英文卻跟不上自己想查案的決心。  後來，邊秀在菲律賓甚至還遇見了宿敵勇裴（金相浩 飾），卻因此讓搜索方向脫離正常軌道。究竟這名鄉下刑警能安全回到韓國嗎？鄉下刑警的國際級搜查行動即將開始！ ,2020-10-08,片長：01時46分,劇情,3.6,95,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\刑警沒有假期.jpg
愛情列車長,原本以為只是搭火車旅行，沒想到…好吃驚！ 聖誕假期，米可萊穿著人偶裝在月台發放傳單，突然對一名美女觀光客一見鍾情，情不自禁跟著她上了火車之後，卻遇到一絲不苟的列車長諾瓦正在驗票，沒錢補票的米可萊於是上演你追我跑的戲碼，過程之中不慎打昏了列車長，當他穿上諾瓦的外套，卻被乘客誤以為是列車長，強拉去處理各式各樣的緊急事故：走失小孩的家長、坐錯位置的乘客、擋住走道的路霸、想坐霸王車的惡霸，還要安慰因為失戀而哭得死去活來的列車女服務生。搭火車旅行真的好吃驚，最後的高潮來到火車突然緊急剎車、意外停駛，冒牌列車長要如何安撫一整列車的乘客們呢？更重要的是米可萊會在火車上找到他的真愛嗎？  【關於電影】  波瀾最大鐵路公司PKP贊助拍攝，靈感來自火車旅途間的短暫過客  本片為新銳導演米格爾•維列斯首部劇情長片，全片百分之九十的場景都發生在火車上，獲波蘭最大鐵路公司PKP贊助拍攝。導演米格爾表示，本片靈感來自某次的工作案，連續好幾個月得高頻率搭火車從波茲南到華沙。火車旅途過程中有迷人的風景、搖晃和吵雜的干擾，以及沿途各個別具特色的停靠站和形形色色的乘客，在火車上比鄰而坐的乘客都是一個個未知的謎團，每個人都有故事和目的地，但一旦搭上列車，卻也只剩下一個座位號碼，然而，旅客們的一舉一動、穿著打扮、談吐都依然看在他人眼中。當大家同乘一輛火車，常常個人的一個微小舉動，就有可能對他人造成巨大的影響，引發連鎖反應，甚至可能讓本該只是陌生人的乘客成為朋友、戀人或敵人。「旅途中我當然不可能立刻和身旁的乘客熟稔起來，但我一直在默默觀察他們，想像他們的生活樣貌，進而得到靈感寫下這個故事。」  導演米格爾坦言自己希望藉由這樣的觀察和腦補，描繪出一個建立在火車上的微型世界，以及屬於這個世界的獨有規則，宛如一幅「列車浮世繪」。同時也對人的「身分」提出叩問，透過詼諧的對白、諷刺的事情發展，讓觀眾一窺「假裝成他人」、「濫用他人身分」會得到什麼苦果。導演米格爾表示自己一直將美國名導比利懷德視作楷模，「電影最讓我感到共鳴的地方是關於人的各個面向，例如：愛情、友情、使命、生死。我也喜歡去探索這些東西，選擇用反諷的方式呈現，避免讓自己和作品過於嚴肅。」他也形容比利懷德的老電影，事隔多年，如今看來一點也不覺得過時，依然充滿新鮮感，因為他始終將焦點擺在人性，而非時代，「時髦的點子和潮流總有過時的時候，但人性卻亙古不變。我期許自己朝這個方向前進，希望能拍出一部簡單、能帶給觀眾娛樂的電影，讓每個觀看的人都感到快樂、滿足，《愛情列車長》就是在這樣的想法下拍攝而成的。」 ,2020-10-08,片長：01時25分,,3.8,87,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\愛情列車長.jpg
工作細胞特別上映版-強「菌」來襲！人體腸道大騷動！,★2018轟動中、日、台的科普動畫，2020年度最具教育意義院線電影！ ★醫學界、教師界強力推薦，捲起校園課堂cosplay風潮！ ★分秒發生於你我體內的真實劇情，刻畫生動，引人入勝！ ★日本癌症專家「大須賀 覚」與「紐約知名醫師－Doctor Mike」大力推薦！  「為了苦讀生物的妹妹」而誕生的超人氣作品漫畫《工作細胞》，在眾所期盼下推出電視動畫，讓你我了解身體內部的故事，是任何人都能有所共鳴的體內細胞擬人化作品。  細胞們在名為「身體」的世界中，依舊活力滿點，全年無休的工作著。  有著搬運氧氣的紅血球，和細菌奮戰的白血球……細胞們在體內正上演著不為人知的精彩好戲。而原作漫畫經典長篇則獨立製作成特別上映版《強「菌」來襲！人體腸道大騷動！》，即將可在大銀幕上看到「賭上生命，守護生命」的細胞們為了身體奮戰！ ,2020-10-08,片長：01時52分,,4.3,95,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\工作細胞特別上映版-強「菌」來襲！人體腸道大騷動！.jpg
皮爾卡登,,2020-10-08,片長：01時42分,,3.8,100,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\皮爾卡登：迷戀未來的人.jpg
交響狂人,這些來自以阿兩邊的音樂家，自出生就互為敵手… 知名的德國指揮家愛德華，接受一項極為艱鉅的任務，要組一個橫跨以色列與巴勒斯坦的青年交響樂團，但他很快發現自己被捲入了一場風暴之中。原來這些來自以、阿的音樂家們，在不斷面對戰爭及恐怖攻擊的陰影下，自出生就互為敵手，根本很難共同完成一場交響樂演出…。  他們很快自動分成兩個派系，並以各自的小提琴手為首。首先是來自巴勒斯坦的蕾拉，雖然母親從小教她上街抗爭以色列，但她從不為所動，始終在佈滿催淚瓦斯的動亂中努力習琴。另一方的以色列提琴手朗恩，自幼練就紮實的古典音樂底子，甚至組成了樂隊。蕾拉每天前往特拉維夫場地練琴，得辛苦通過以色列軍隊駐守的檢查哨，甚至經常遭受羞辱。朗恩則直接將他的樂隊成員帶進樂團參加徵選，意圖影響團員比例，雙方衝突一觸即發…。  為能順利完成這場交響樂演出，愛德華決定傾他全部教學資源與溝通技巧，克服雙方的文化差異與國仇家恨。他真能成功讓大家放下仇恨、恐懼和偏執，彼此信任、團結起來，進而展開為期一個月的演練並順利登台嗎？  【電影簡介】  熱烈掌聲久久不歇《交響狂人》連奪德美雙料觀眾票選獎 結合悠揚交響樂與敏感國際情勢的電影《交響狂人》（Crescendo），今年初在德國慕尼黑國際影展上引發震撼。該片靈感取自現任柏林歌劇院總監丹尼爾巴倫邦（Daniel Barenboim）曾轟動一時的和平創舉，他曾將以色列與阿拉伯的年輕音樂家們，以1：1比例聚在一起演奏，祈能靡平以、阿之間劍拔弩張的氣氛而舉世嘩然。這部充滿話題的電影《交響狂人》，是由《顛父人生》歐洲影帝彼得西摩尼謝克（Peter Simonischek）擔綱主演，片中除演奏了韋瓦第《四季》、德弗札克《新世界》，以及拉威爾《波麗露》（戰火浮生錄）等名曲外，一場他大膽挑動雙方音樂家水火不容對峙飆罵的戲，幾乎遊走最敏感邊緣，後座力十足震撼觀眾，在慕尼黑國際影展首映時，掌聲熱烈長達十分鐘久久不歇，被國際媒體喻為「史上最艱鉅的交響任務」。  這部直探敏感火藥庫的音樂勵志片《交響狂人》，是德籍猶太裔導演托爾扎哈維（Dror Zahavi）的最新作品。他將知名指揮家丹尼爾巴倫邦的當年創舉入題，時隔21年再度蔚為佳話。1999年，丹尼爾巴倫邦成立「西東合集管弦樂團」＊，意圖致力以、阿和平。但世代傳承的家國仇恨，卻使樂團自成立即備受挑戰，經過多年努力才為世人稱頌，不僅曾獲邀在前教宗本篤十六世御前演奏，2012年於倫敦音樂節詮釋貝多芬全套交響曲，更是萬人空巷。電影《交響狂人》除劇情高潮迭，片中更倡導「寬恕」等人性最高貴價值，不僅勇奪柏林布蘭登堡猶太影展最佳德國電影，更連奪美國聖地牙哥猶太影展、路德維希港德國電影節等雙料觀眾票選獎。  電影《交響狂人》劇情描述知名的德國指揮家愛德華（彼得西摩尼謝克 飾），接受了一項極為艱難的任務，要組一個橫跨以色列與巴勒斯坦的青年交響樂團，卻被捲入一場愛恨糾葛的風暴之中…。這些來自敵對國家的年輕團員，自出生血液中就帶著家國仇恨，愛德華不僅得使出渾身解數，克服雙方差異、偏執與恐懼，更要讓他們在彼此信任、相互團結基礎上，展開訓練及登台演出…。讓人驚訝的是，導演托爾扎哈維為求真實，竟讓如假包換讓以色列和阿拉伯青年演員共同參與演出。片中更舉猶太人與德國人歷史為例，強調「天下無不能化解的仇恨」，而一句「和平是你們責無旁貸的任務」，更道出現今人們之於新世代的深切寄望。《交響狂人》在世界各地影展迴響熱烈，觀眾甚至含淚起立鼓掌，場面令人動容。台灣將於9月30日起正式上映。,2020-09-30,片長：01時52分,劇情,3.7,75,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\交響狂人.jpg
阿公當家,★改編自全球暢銷150萬冊、橫掃國內外逾十項大獎小說《我的房間保衛戰》！  彼得(奧克斯弗格雷飾)與外公艾德(勞勃狄尼洛飾)的感情非常好，直到被迫讓出自己的房間給外公住，彼得搬到了陰森可怕的閣樓，讓他燃起要把房間搶回來的決心！彼得和好友們設計了一連串惡整外公的計劃，包括：把房門拆了、在床上放蛇、把刮鬍泡沫偷換成泡沫膠等無良行為，而被激怒的外公艾德也不是省油的燈，他和一群公嬤輩老友也擬定「加倍奉還」的反擊策略，一場超狂又超鬧的房間保衛戰就此展開！  【關於電影】  改編自全球暢銷150萬冊、橫掃「馬克‧吐溫獎」、「西北太平洋圖書館協會青少年圖書獎」、「內布拉斯加州金索維獎」等國內外逾十項大獎小說《我的房間保衛戰》的2020年度超鬧爆笑喜劇《阿公當家》，集結勞勃狄尼洛、鄔瑪舒曼等影壇金牌卡司聯手搞笑，片中飾演孫子的奧克斯弗格雷更傳承了「教父」阿公與「追殺比爾」憤怒新娘的超狂基因，為搶房間展開超無良惡整大戰，讓飾演阿公的勞勃狄尼洛險些招架不住，在片中隸屬勞勃狄尼洛的公嬤隊員克里斯多夫華肯表示，其中一場彈簧床躲避球PK戲拍到膝蓋差點爆炸，他說：「那天我們這群公嬤隊員只要不小心跌倒，要再站起來還真得花點時間，彷彿聽到鈣質流失的聲音。」而勞勃狄尼洛拋開形象的爆笑演技更讓全劇組都笑到不行，製片馬文波特表示：「勞勃狄尼洛在每一場戲都有各種不同的詮釋方法，他散發著天生的演員魅力，每次看他現場演出都覺得很幸福，他總能用出乎意料的方式逗樂所有人。」,2020-09-30,片長：01時37分,喜劇,4.0,97,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\阿公當家.jpg
刻在你心底的名字,電影《刻在你心底的名字》故事聚焦在80年代剛解嚴的台灣，一對遊走在友誼，愛慕之間的高中同窗，他們在青春的騷動與性啟蒙的渴望牽引下冒險，因為學妹的出現而讓曖昧關係產生變化。,2020-09-30,片長：01時54分,劇情,4.2,92,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\刻在你心底的名字.jpg
剪刀手愛德華,★好萊塢鬼才大導演 提姆波頓 ★強尼戴普、薇諾娜瑞德主演最浪漫奇幻愛情電影 ★榮獲奧斯卡最佳化妝獎提名 ★本片獲英國電影獎最佳藝術設計等多項獎項 ★最悲傷和感動人心的奇幻愛情故事 揭開奇幻世界的神秘面紗  科學家住在一棟久無人跡的城堡裏，因為寂寞製作了一個人造男孩愛德華來陪他，只差手部尚未安裝完成，而留下一雙剪刀手。一天當科學家正要替愛德華換上正常手臂時，卻突然猝死。不知過了多久，雅芳小姐發現愛德華，將他帶回人類生活的社區，剛開始大家很害怕，後來發現愛德華有一雙妙手，能修剪花木，便請他來家中修飾庭園，或是幫鄰居剪出各式新穎的創意髮型，受到大家的喜愛，也是他與一個女孩戀愛的愛情故事。  【關於電影】  這是一個很悲傷的故事，然而它卻悲傷得很美麗....  年輕的主人翁愛德華（強尼戴普Johnny Depp飾演）是老科學家生前所未製造完成的「半成品機器人」 ，只差手部尚未安裝完成，而留下一雙剪刀手。後來他被雅芳小姐收養，帶到人類生活的郊區社區居住，體會到人類的友情、愛情溫馨的一面，也體會到殘酷的現實。  相當震撼的原創故事，點子來自導演「提姆波頓」小時候的想法。全片將童話般天真的元素和大量諷刺社會的元素作混合。全片仍然是相當迷人及幽默的。男主角「Johnny Depp」將心思敏感易碎的剪刀手男孩飾演的十分精湛，而恐怖片老天王「文森普萊斯」更在片中客串了片頭的老科學家一角。 ,2020-09-30,片長：01時45分,,4.1,86,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\剪刀手愛德華.jpg
森林特攻隊,★2020法國安錫動畫影展 世界首映 ★《女王的柯基》導演打造全新冒險童話，將率領傻萌動物大鬧破壞環境凶手，對抗邪惡的人類開採石油公司！ ★《冰原歷險記》《神偷奶爸》幕後製作團隊，中秋連假唯一闔家動畫首選 ★男孩與森林動物家庭的冒險新篇章！生態教育媲美《與森林共舞》，動物瘋狂更勝《動物方城市》 ★全片以絕美的阿拉斯加為背景，山巒、冰川及廢棄金礦等多樣壯闊地貌，歡迎全家一同前往大銀幕親身體驗  人類持續破壞環境，是時候動物們該站出來捍衛生存權益…  看似平凡的亞當，和雪麗（母親）、大腳怪（父親）以及他們的朋友偉波（大灰熊）、蒂娜（松鼠）、崔波（浣熊）一家人，這個非凡的大家庭一起在森林裡定居。沒想到隨著大腳怪父親越來越有名，父親也利用名氣嘗試改變世界。某天動保團體與父親聯繫，打算一起阻止石油公司開發並汙染動物的生存環境，沒想到父親在一次追查真相的過程中竟然莫名失蹤了！亞當和他的動物家人們，決定聯手找出大腳怪父親的下落，同時透過社群媒體試圖揭發石油公司的邪惡陰謀，他們一家人還有機會再次團聚嗎？  《森林特攻隊：大腳Y家族》是賣座動畫《女王的柯基》導演班史塔森的動物冒險新作，並聯手《冰原歷險記》《神偷奶爸》製作團隊、《地球人壞壞》編劇、布魯塞爾在地樂團Puggy共同傾心打造闔家觀賞的叢林童話。故事場景以絕美的阿拉斯加為藍圖，還加入了山巒、冰川及廢棄金礦等多樣地貌，讓這趟救援旅程增添豐富刺激的視覺效果。片中各種可愛的森林動物們紛紛出籠，對抗「大鯨魚」般的人類石油公司，除了伸張森林居住權的正義外，更貫徹「是一家人就要團結在一起」這樣普世卻最能貼入人心的溫暖理想。生態教育媲美《與森林共舞》，動物瘋狂更勝《動物方城市》，歡迎走進男孩與動物好友們的森林冒險新篇章！ ,2020-09-30,片長：01時29分,冒險,3.9,93,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\森林特攻隊：大腳ㄚ家族.jpg
捉魂鏡,★ 鏡子裡，不只有自己還有它… ★ 除了家人，這間房子還有看不見的房客 ★ 《絞刑台》製片打造駭人新作   一對年幼的姊妹被送到感情疏遠的阿姨家寄養，她們發現阿姨家的所有鏡子都被遮住或藏起來。直到其中一位小女孩在地下室意外發現一面鏡子，在不知情的狀況下將不懷好意的惡魔釋放，而這個惡魔早在多年前便困擾著媽媽以及阿姨兩人… ,2020-09-30,片長：01時26分,懸疑/驚悚,3.7,98,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\捉魂鏡.jpg
