amount_reviews,critics_consensus,duration,genre,image_urls,images,rating,release_date,title
89,★笑中帶淚、感人肺腑，今年度最溫暖動人的家庭溫情系電影 ★廖慶松、徐若瑄領軍，金獎團隊聯手打造，再創台灣家庭電影經典 ★台灣重量級實力派女性演員，共同寫下屬於台灣女人的故事  缺席的人，是她們不能觸碰的心事… 林秀英（陳淑芳 飾）是台南赫赫有名的餐廳老闆，在丈夫（龍劭華 飾）無聲無息地離家後，便靠著賣蝦捲，獨自撫養三個女兒長大成人，不僅把蝦捲從路邊攤賣到開餐廳，三個女兒更是成就非凡，大女兒阿青（謝盈萱 飾）是國際舞者，二女兒阿瑜（徐若瑄 飾）在台北當整形醫生，小女兒佳佳（孫可芳 飾）則接手自己的餐廳事業。  眼看就要苦盡甘來，秀英卻在70大壽當天接到丈夫離世的噩耗，在替這位有名無實的丈夫籌辦喪禮的同時，竟意外迎來了另一位陪伴丈夫度過晚年的女人，令她不得不再次面對內心埋藏已久的怨懟……,片長：02時03分,,,/code/media/movie/images/孤味.jpg,4.4,2020-11-06,孤味
100,★ 第79屆威尼斯影展競賽單元 ★ 2019 日內瓦國際影展「最佳VR體驗金映獎」 ,片長：01時26分,,,/code/media/movie/images/5x1.jpg,0.0,2020-11-06,5x1
78,★繼《寄生上流》後南韓電影最受國際矚目之金獎作品！固定班底柏林影后金珉禧、徐永嬅等人再度攜手”逃亡”，拓展「洪常秀宇宙」又一新視界 ★「亞洲伍迪艾倫」洪常秀導演再突破的細膩新作！罕見以女性視角出發，尖銳看穿兩性愛情裡的貪嗔癡 ★洪常秀導演生涯四次入圍柏林影展，首次憑本片奪下2020柏林影展最佳導演銀熊獎殊榮  想從洗手間偷聽她們趁男人不在身邊時的評價，但還不只是這樣…  自命幸福的已婚女子，因丈夫暫別而興起拜訪朋友的念頭。她與住在首爾郊外的年長友人小聚，走進迷戀鄰居的女教師房間，又偶然遇上在獨立電影院工作的老友。在這個自得其樂的女性國度中，一連串的重逢與偶遇照亮了不同位置的韓國女人心境。一杯杯米酒與燒肉的絮絮叨叨裡，男人的自私軟弱被攤開來嘲諷笑語，深埋在女人們內心深處的慾望也方得傾訴。創作不輟的南韓名導洪常秀，這回以一貫簡約的風格與變焦攝影鏡位，帶著觀眾步入女人的世界，透過一票御用女演員金珉禧、徐永嬅、宋宣美、金璽碧，述說一群追求獨立自主的現代女性的故事，精準描摹那道男性無法跨越的鴻溝。  《逃亡的女人》是南韓金獎作者導演洪常秀生涯入圍四次柏林影展後，首度奪下最佳導演銀熊獎的集大成之作。這次同樣找來謬思女神、柏林影后金珉禧作為穿針引線的主角，並召集了固定班底如徐永嬅、宋善美、金璽碧、權海驍等人，一改過往作品中總愛描繪長篇大論又與年輕女子曖昧不明的男性們，這次聚焦在女子們「午茶閒聊」式的流言耳語，另類精準描繪出擅長的兩性母題。本片可說是繼《寄生上流》後南韓電影最受國際矚目的金獎作品，拓展「洪常秀宇宙」又一新視界，導演忠實粉絲絕不容錯過。什麼才是讓這群女人想短暫遠離家庭的真相？又有什麼一針見血地抱怨伴侶的閒話，聽了讓人不禁感同身受呢？ ,片長：01時17分,,,/code/media/movie/images/逃亡的女人.jpg,4.0,2020-11-06,逃亡的女人
92,★ 人氣漫畫家キヅナツキBL名作改編的同名動畫 首度映畫化！ ★ 以SNS為中心 「青春×樂團×BL」的最佳組合！ ★日本BL動畫知名品牌「BLUE LYNX」繼《鳴鳥不飛：烏雲密布》又一力作  キヅナツキ同名BL人氣漫畫，繼電視劇版後，終於登上大銀幕，這也是日本BL新銳廠牌「BLUE LYNX」繼《鳴鳥不飛：烏雲密布》的第二部作品。  高中生上山立夏熱愛演奏吉他，與春樹和秋彥合組一個小樂隊。某個午休，他意外幫佐藤真冬修好吉他弦後，被真冬拜託教吉他，而後又在聽到真冬的歌聲後邀請他加入樂隊。立夏在相處的過程中漸漸喜歡上真冬，真冬有一個彼此互相喜歡並支持的青梅竹馬，但那個人卻自殺了，因那個人喜歡吉他，真冬才一直很想學。那個人沒有做到的事，沒有堅持的陪伴，立夏都幫他實現了，真冬也開始慢慢喜歡上立夏。另外一對CP春樹和秋彥，春樹一直默默地喜歡著秋彥，為他留著長髮，但秋彥卻與極具音樂才華的小提琴家雨月同居在一起。動畫影集以高中生的真冬與立夏兩人間悲傷恬淡的愛情為主軸，首部劇場版則為大人組三人的春樹、秋彦、雨月，熾熱的三角戀拉開序幕。 ,片長：01時00分,,,/code/media/movie/images/GIVEN~被贈與的未來劇場版.jpg,4.0,2020-11-06,被贈與的未來
78,★韓國名導李滄東跨世紀經典之作，台灣首度公開上映 ★2002年威尼斯影展最佳導演、最佳新人演員、影評人費比西等三項大獎 ★2002年青龍獎最佳新人獎 ★2005年美國獨立精神獎最佳外語片入圍  在洪宗道出獄後，家人對他十分排斥，而他之所以被判入獄，只是為了頂替哥哥過失殺人的罪名。心冷意涼的他，來到死者的住所拜訪家屬，遇到死者的女兒韓恭洙，卻發現她是一名重度腦性麻痹患者，雖然她面容扭曲、手腳抽搐，但宗道卻被她吸引，並在衝動下做出大膽舉動…….  但在意外事件後，兩人卻彼此都萌生了愛情，兩顆孤獨心靈就此漸漸靠攏。他們看似身心不甚健全的非正常人，但卻擁有顆純潔之心，但卻一連串發生遭遇現實不公不義事件。最後，命運是否就此放過戲弄他們的機會呢？  【關於電影】  《綠洲》是李滄東的第三部電影，是一部關於「世界上最悲慘的男人與女人間不可思議的愛情故事」。跟《青魚》與《薄荷糖》帶有對社會與政治現實諷刺的略微不同的，《綠洲》就是一個獨特的愛情故事，一段所謂的「禁斷之戀」，通常不容見於世的。更特別的是，電影還添增了許多「奇幻」色彩，讓為躲避殘忍現實的女主角恭洙，能時而夢見屬於她自己的綠洲樂園。這絕不是一部只屬於韓國的電影，相信能感動來自世界各國，喜歡李滄東作品的影癡，一定能滿足你對他所有的期待。,片長：02時15分,,,/code/media/movie/images/綠洲：數位經典版.jpg,4.2,2020-11-06,綠洲
100,法國奧斯卡凱薩電影獎影帝皮耶尼內最新力作 ★ 「令人著迷的逆境重生故事」—《好萊塢報導》 ★ 捨己救人卻意外毀容，救火英雄該如何重拾勇氣？  法蘭克是巴黎的一名消防員，原本與懷了雙胞胎的妻子住在消防宿舍，過著幸福美滿的家庭生活。然而，法蘭克在一次出勤救火時，為了拯救隊員，自己反而陷入危機。當他在創傷治療中心中醒來時，才知道自己的臉已因強大的火焰而融化變形。面對意外毀容，法蘭克得重拾生活勇氣，揮別內心陰影，與妻子攜手走過生活巨變… ,片長：01時58分,,,/code/media/movie/images/火線情深.jpg,4.4,2020-11-06,火線情深
96,★ 《永劫》雙人組導演驚悚科幻新作 ★ 「獵鷹」安東尼麥基聯手「格雷」傑米道南 追查一連串神秘死亡事件 ★ 繼《天能》後，再度顛覆觀眾時間認知的燒腦之作 ★ 2019 多倫多國際影展特別展映單元 ★ 2019 德州奧斯汀奇幻影展 ★ 2019 西班牙錫切斯奇幻影展 ★ 2020 富川國際奇幻電影節  紐澳良擔任第一線救護人員的史蒂夫（安東尼麥基 飾）和丹尼斯（傑米道南 飾）遇上一連串恐怖命案，這些死亡事件的線索通通指向案發現現場發現的一種神祕藥物，究竟這神祕藥物的背後隱藏著什麼駭人的真相？,片長：01時42分,懸疑/驚悚,,/code/media/movie/images/藥命時空.jpg,4.2,2020-11-06,藥命時空
43,★改編中國藝術家夜山明根據真實生活體驗，自編自導自演甚至自創音樂、自畫自彈自唱，一展其跨領域的藝術奇才 ★和好友共同到城市闖蕩的期待與失意，宛如更為赤裸寫實的《海闊天空》，後半則轉為彷彿更靜謐寂寥的《德布西森林》 ★本片將繪畫理念創造成自成一格的詩意影像，是必須體驗的藝術家系列電影 ★行遍漫山濟滄海，終會得到迴響，電影中的主角每一次拿起畫筆和每一次拂動琴弦，不僅是音畫對話，更是他自己的一種藝術可能性  故事講述了一個十八歲來合肥上大學的美術生張小雨，在這個城市裡自己所謂的“天才藝術”屢遭失意，直到失落離開，去了徽州的古村落，後而久居山裡。從懵懂到思量，從輕狂到堅強，從堅強到無懼的過程。生命本身就是大自然的過客，我們探尋什麼？得到什麼？追憶和緬懷什麼？個人的價值？生命的 體驗？留下足跡而非荒漠。夢想是什麼？  夢想是落地生根，發芽成長。心懷坦蕩即心存希望。是對自我的審視，人與自然的共融。本片在音畫合一的基礎上真畫、真彈、真唱，從作詞到作曲，從到導演編劇皆為作者一手包辦，對中國電影產業將帶來更新的啟發。,片長：01時41分,,,/code/media/movie/images/夜山明.jpg,0.0,2020-11-06,夜山明
97,★ 金球獎影后蕾夢娜葛瑞自編自導恐怖鉅作 ★ 2020 日舞影展「午夜單元」  ★ 2020 富川國際奇幻電影節 ★ 當恐懼成為信仰，他將無處可逃… 　　 自軍中退伍的托瑪斯因事故而無家可歸，好心的年輕女子瑪格達收留了他，讓他暫住在她與母親所居住的小屋內避難。朝夕相處之下，托馬茲逐漸對瑪格達產生了情愫。然而，此時他卻注意到小屋內詭異且無法解釋的現象，瑪格達口中重病的母親竟從未露面過，而老母親所居住的閣樓更日益讓托瑪斯感到不對勁…… ,片長：01時40分,懸疑/驚悚,,/code/media/movie/images/附身符.jpg,3.7,2020-11-06,附身符
94,“生如夏花之絢爛，死如秋葉之靜美”～泰戈爾  年老的禮儀師尚吉（安聖基 飾）長期照顧著癱瘓的兒子智赫（金彗星 飾），龐大的經濟壓力迫使他加入大型的禮儀公司，大公司利字當頭，讓一心想好好送亡者最後一程的尚吉經常與公司起嫌隙。單親媽媽恩淑（柳真 飾）因為臉上的傷疤求職無門，因緣際會之下，當起了智赫的看護，樂觀開朗的母女倆為生無可戀、一心求死的智赫，和總是心事重重的尚吉帶來一線曙光，然而，溫馨的日子卻在不速之客的到來後破滅，恩淑藏在笑臉背後的悲傷過往也浮出檯面…。同時，總是溫暖收容弱勢的麵店老闆不幸病逝，沒有家人的他，依照政府規定，只能直接火化。然而，一群受過恩惠的遊民，卻因無法幫恩人辦一場體面的告別式而悲憤不已。他們竟從殯葬處偷走遺體，並找上尚吉，打算非法在廣場為恩人舉行公開的葬禮，面對冰冷的制度，他們是否能完成最後的心願？  【關於電影】  宛如韓版《送行者：禮儀師的樂章》 國民影帝安聖基X韓流女團始祖柳真X花美男金彗星 共譜生命奇蹟 《紙花》為南韓新銳導演高勳自編自導之作，找來南韓國民影帝安聖基，與睽違十二年未出現在大銀幕的前S.E.S.女子團體成員柳真共同演出。從影超過六十年，參演過無數大師名導得獎作，以及大製作商業片的安聖基表示，《紙花》雖為新銳導演獨立製片之作，預算片酬都不高，但劇本結構完整、人物刻劃動人，說服了他參演，「對我來說，無論是商業電影還是獨立電影，只要是好劇本，就該給予更多機會，能成為電影後輩的引路人，是我對自己的期許。」導演高勳也坦言，自己是在一次偶然中，看到電視正在採訪禮儀師，產生濃厚的興趣，決定以此為題材創作。而故事的主人翁尚吉，一開始則是命名為「安聖吉」，可說是從製作初期就鎖定了安聖基為男主角，並以他的形象量身塑造角色。安聖基也為了演出專業禮儀師，接受訓練，並且在開拍前每天在家努力練習摺紙花，他坦言：「禮儀師對一般人來說，已是充滿距離感的職業；對演員來說，要揣摩這樣的職人，更是難上加難。」  最終，安聖基細膩生動的演出在海內外影展好評連連，更一舉摘下休士頓影展影帝榮耀，成為南韓首位在該影展得到演技獎項的演員。同時該作也被影展評審給予高度肯定：「這部作品道出了受傷、痛苦還有死亡之間，靈魂心痛的共鳴。」至於安聖基片中因長期癱瘓在床，生無可戀的兒子智赫，則找來曾在家庭喜劇《搞笑一家親》中，以正太形象深植人心，一度紅極一時，卻因過於可愛的外型導致角色受限，加上當兵入伍、車禍意外而淡出戲劇圈的金彗星飾演，從戲外的回歸，到戲中的重生，金彗星將角色從絕望到重拾希望的轉折，表演得恰如其分。女主角恩淑則找來同樣因結婚生子，一度淡出演藝圈的柳真回歸飾演，柳真表示，自己如今現實生活中已是兩個女兒的母親，此次在片中飾演單親媽媽，獨自照顧一個女兒，相當能體會這個堅強母親的心境。同時柳真也坦言導演對她表演最主要的指示就是「成為整部片光明的存在！」因此，儘管故事圍繞著各種死亡、令人沮喪的處境，柳真的演出依然充滿活力與笑顏，為尚吉的壓抑、智赫的絕望帶來一線曙光。 ,片長：01時43分,,,/code/media/movie/images/紙花.jpg,4.3,2020-11-06,紙花
75,★第76屆 威尼斯影展競賽單元 ★2020 富川奇幻影展 ★2019 法國安錫國際動畫影展「VR 水晶獎」 ★2019 台北金馬國際影展 ★,片長：00時35分,,,/code/media/movie/images/咕嚕米的眼睛.jpg,0.0,2020-11-06,咕嚕米的眼睛
50,就算瞎了眼，電影也得完成… 本名馬泰歐的哈利，在當年是叱吒風雲的新銳導演，於一場車禍中失明後再也無法繼續拍片，於是化名為哈利肯恩擔任編劇一職。某日，一則突如其來的死訊揭開塵封已久的往事回憶，破碎的真相也一片片地拼湊了起來……  14年前，哈利執導處女作《女孩與手提箱》期間，邂逅了美豔動人的女演員莉娜，兩人愛得濃烈，然而莉娜卻是富商艾尼斯的情婦，由愛轉恨的艾尼斯不擇手段地介入電影拍攝。當哈利與莉娜決定私奔，艾尼斯竟決心摧毀電影，讓電影招來惡評如潮。哈利氣急敗壞回到馬德里，萬萬沒想到，這一次的離別竟讓兩人走上命運的分歧……,片長：02時07分,,,/code/media/movie/images/破碎的擁抱經典數位修復.jpg,4.1,2020-10-30,破碎的擁抱
50,亂倫、謀殺、異裝癖，一趟贖罪之旅 蕾貝卡的母親是當紅的流行歌手，為了追求演藝事業拋下年幼的蕾貝卡遠赴墨西哥。每當蕾貝卡想念母親時，就會來到劇場，看異裝癖藝人戴上金髮、穿上迷你裙，模仿母親的表演。蕾貝卡對於母親有著異常的迷戀，她盡其一生去模仿追趕，想要成爲母親那樣的人，同時對母親又充滿了妒與恨。於是她努力當上了新聞主播，還嫁給了母親的舊情人。多年後，母親回到馬德里即將舉行公演，卻與舊情人重燃愛火。得知消息的蕾貝卡一氣之下殺了丈夫，並在新聞播報時公開了自己的罪行。蕾貝卡鋃鐺入獄之後，母親也在首演當晚的舞台倒下了，她將不計一切代價讓蕾貝卡尋回幸福。 ,片長：01時52分,,,/code/media/movie/images/高跟鞋經典數位修復.jpg,4.1,2020-10-30,高跟鞋
57,★ 2003奧斯卡最佳原創劇本 ★ 2003金球獎最佳外語片 ★ 2003歐洲電影獎最佳影片、最佳導演、最佳劇本  個性靦腆的班尼諾在私人診所擔任看護，他全心全意照顧著因車禍陷入昏迷長達四年的芭蕾舞學生艾莉西亞；馬可是一名旅遊記者，他的女友莉蒂亞在一次鬥牛過程中身受重傷昏迷不醒。兩個完全不相識的男人，在一場舞蹈家碧娜•鮑許的現代舞作「穆勒咖啡館」比鄰而坐。幾個月後，兩人在私人診所正式相遇，正當兩個男人的友情愈來愈深厚，莉蒂亞的前男友卻在此時來探病，並告訴馬可自己與莉蒂亞在出事前就已舊情復燃，讓馬可深受打擊而離開，不久便在報紙上看到莉蒂亞的死訊。同時，成為植物人許久的艾莉西亞，竟被發現懷有兩個月的身孕，一切矛頭都指向班尼諾…,片長：01時53分,,,/code/media/movie/images/悄悄告訴她經典數位修復.jpg,3.3,2020-10-30,悄悄告訴她
64,★2006坎城影展最佳女主角、最佳劇本 ★ 2007金球獎最佳女主角、最佳外語片入圍 ★ 2007奧斯卡最佳女主角入圍  某晚，寶拉在公車站等待母親蕾木妲下班，兩人回到家中，蕾木妲驚覺丈夫竟倒在血泊之中。寶拉顫抖地坦承父親在喝醉後，不斷聲稱自己不是她的父親並想進一步地侵犯她，兩人在拉扯中於是導致意外…蕾木妲二話不說地擔起殺人的罪責，並將屍體暫時放在餐廳的冰箱。蕾木妲的母親伊列涅死於一場大火之中，盛傳伊列涅的鬼魂時常出沒，鄰居奧古斯汀娜對此深信不疑，她堅信自己失蹤的母親必定也與那場大火有關，於是拜託蕾木妲向伊列涅的鬼魂求證，卻遭蕾木妲斥為謬論。但沒想到蕾木妲的妹妹索蕾竟真的看見了伊列涅…,片長：02時01分,,,/code/media/movie/images/玩美女人經典數位修復.jpg,3.3,2020-10-30,玩美女人
82,★ 2004年坎城影展開幕片 ★ 2004歐洲電影獎最佳影片、最佳導演等5項提名  神父、戀童、變性，愛越深…罪越重 伊納修與安利奎是馬德里一所教會學校同學，懵懂的兩人有著非一般「同窗之愛」。戀童癖的馬諾羅神父迷戀上擁有天籟美聲的伊納修，為了擁有他，馬諾羅神父勒令安利奎退學，更進而性侵了伊納修。  20年後成為導演的安利奎，收到一份來自伊納修的劇本。劇本影射兩人幼時的教會生活、情慾的初長、神父對男童的性幻象等等，安利奎決定開拍成電影搬上大銀幕。安利奎對伊納修心有存疑決定私下展開調查。電影開拍後，片場出現了一名不速之客–馬諾羅神父，神父告訴了安利奎另一個版本的故事……  童年禁忌的初戀、神父的戀童癖以及同性間的情慾糾纏，交織出一場慾望的狂風驟雨。 ,片長：01時45分,,,/code/media/movie/images/壞教慾經典數位修復.jpg,3.5,2020-10-30,壞教慾
97,★全球觀眾引僅期盼，最〝燃〞神作動畫首部劇場版 ★《獵人》作者「富堅義博」感動力推 ★日本漫畫總銷量 5 年內突破 6 千萬  《鬼滅之刃》是家人慘遭鬼殺害的少年－竈門炭治郎，為了讓化為鬼的妹妹禰豆子恢復回人 類，自願加入「鬼殺隊」的故事。以人鬼間的悲痛故事、驚心動魄的劍戰，以及偶然穿插的 滑稽場景，贏得廣大人氣，不僅紅遍日本，更掀起全球觀眾的熱烈討論。  緊接在電視版動畫《竈門炭治郎‧立志篇》之後的故事《無限列車篇》，即將登上大銀幕。 炭治郎等人完成「蝴蝶屋」的訓練，下一個目的地是開往黑暗的「無限列車」。  以多人行蹤不明的這輛列車為舞台，炭治郎帶著禰豆子與善逸、伊之助一行人，與鬼殺隊最 強劍士〝柱〞其中之一「炎柱‧煉獄杏壽郎」會合， 新的任務即將開始！ ,片長：01時57分,,,/code/media/movie/images/鬼滅之刃劇場版無限列車篇.jpg,4.6,2020-10-30,鬼滅
95,★ 《史達林死了沒？》英國喜劇鬼才阿曼多伊安努奇最新力作 ★ 狄更斯經典文學作品《塊肉餘生記》全新華麗視野改編 ★ 《失控危城》戴夫帕托、《窒息》蒂妲絲雲頓、《怪醫豪斯》休羅利 實力派卡司笑看人生 ★ 入圍2019 英國獨立電影獎最佳英國獨立電影、最佳男主角、最佳男女配角、最佳劇本在內11項大獎 ★ 獲2019 英國獨立電影獎最佳劇本、最佳男配角、最佳整體卡司、最佳服裝設計、最佳美術設計5項大獎 ★ 北美由探照燈影業盛大發行  改編自1849年出版的小說《塊肉餘生錄》，講述主角大衛考柏飛（戴夫帕托 飾）充滿歡笑與淚水的人生故事。 ,片長：01時59分,喜劇,,/code/media/movie/images/狄更斯之塊肉餘生記.jpg,4.1,2020-10-30,狄更斯之塊肉餘生記
92,這部作品以黑色幽默又暖人心房的手法，述說在1967年年底，有一個孤苦伶仃的男童（賈瑟布魯諾 飾）來到阿拉巴馬州鄉下的迪莫波利斯鎮，去跟他親愛的奶奶（奧塔薇亞史班森 飾）一起住。男孩與奶奶遇到一群神祕、迷人卻又殘忍的女巫，機靈的奶奶很快帶著孫子逃到一處熱鬧的海濱名勝。好巧不巧，就在他們抵達時，世上最厲害的「高階女巫」（安海瑟葳 飾）召集了她在全世界的同伴來到這裡，她們都做了偽裝，要一同展開高階女巫的邪惡計劃。  【關於電影】  這部電影改編自童書作家羅德達爾的原著，電影編劇是勞勃辛密克斯與肯亞巴里斯（影集《喜新不厭舊》、《新殺戮戰警》）和奧斯卡金像獎得主吉勒摩戴托羅（《水底情深》）。製片人是勞勃辛密克斯、傑克雷克、吉勒摩戴托羅、艾方索柯朗和盧克凱利，監製則是賈桂琳李文、瑪麗安娜詹金斯、麥可辛格、基登史密洛夫和凱特亞當斯。  幕後製作團隊囊括勞勃辛密克斯的老班底，包括奧斯卡金像獎提名的攝影指導唐伯吉斯（《阿甘正傳》）、製作設計蓋瑞佛里曼、剪輯傑瑞米奧德里斯科爾和陳萊恩、奧斯卡獎提名的服裝設計喬安娜強斯頓（《同盟鶼鰈》、《林肯》）和奧斯卡金像獎提名的配樂家亞倫席維斯崔（《北極特快車》、《阿甘正傳》）。,片長：01時44分,劇情,,/code/media/movie/images/女巫們.jpg,3.8,2020-11-05,女巫們
50,★第74屆威尼斯影展競賽單元 ★2019上海國際電影節 ★2019日內瓦國際影展 ★2018墨爾本國際電影節 ★2017台北金馬國際影展 ★第42屆香港國際電影節  蔡明亮執導的全球首部華語VR電影長片。 入圍2017年第74屆威尼斯影展VR競賽單元，作品安排在小島Lazzaretto Vecchio上播映，乃威尼斯影展為VR播映量身訂作擁有50個位置的16世紀建築劇院中觀賞作品。  故事描述小康在山裡養病，他的亡母來為他做飯，但是他吃不到。 他的鄰居是一名女鬼，也走不進他的生活，他唯一傾訴的對象-是一條魚。  【售票資訊】  10/30 (五) 開放預售 購票請上 https://vrcinema.tixi.com.tw/ ,片長：00時55分,,,/code/media/movie/images/家在蘭若寺.jpg,2.2,2020-11-06,家在蘭若寺
98,★ 青龍影帝劉亞仁為戲增重15公斤，再創人生角色！ ★ 《梨泰院CLASS》「張會長」劉宰明再展多變演技 ★ 《玉子》製作團隊最新犯罪鉅獻 ★ 為犯罪組織毀屍滅跡的兩個男人，竟意外成為誘拐犯？  泰仁（劉亞仁 飾）與昌福（劉宰明 飾）平常接受犯罪組織的委託，勤奮、專業地協助收拾屍體，以這樣的工作維生。某日，兩人收到經常合作的犯罪組織室長永錫的委託，將被誘拐的11歲女孩楚熙託付給他們。然而隔天，泰仁與昌福打算將女孩帶回給永錫時，竟發現他已身亡，兩人捲入出乎意料的事件中…… ,片長：01時39分,犯罪,,/code/media/movie/images/收屍人.jpg,4.1,2020-10-30,收屍人
99,★影壇天后鄭秀文突破性演出，化身腹黑女，蔡卓妍（阿Sa）演出愛情狂，兩大女星演技飆火花 ★風光旑旎的美國聖荷西，一間美麗小屋，一對恩愛夫妻，一次好友的探訪，隱藏了嫉妒、猜疑、佔有慾，人性的陰暗猙獰，引爆一場無可挽回的殺人命案  故事由女子阿欣（蔡卓妍 飾）為了逃避自己一場失敗的戀情，前往美國探望多年不見的好朋友玲（鄭秀文 飾）展開。玲與丈夫鄧（佟大為 飾）移居聖荷西多年，過著彷彿寧靜無憂的理想生活。  玲因工作在身，讓老公帶著阿欣四處遊玩，而在短短5天的探訪中，阿欣意外發現了這對夫婦在優雅的生活背後，隱藏了真相。3個人心中各自有著不可告人的故事，更重演著多年前一場兇案的軌跡，讓他們衝向你死我亡的結局。異鄉人的美國夢，孤寂與懷疑累積成沉重的代價。  【電影源起】  《聖荷西謀殺案》改編自香港劇作家莊梅岩的同名舞台劇。該劇獲第19屆香港舞台劇獎4大獎項、並曾3度公演，廣受歡迎。電影版本由《踏血尋梅》金獎編劇翁子光改編，潘源良執導。《聖荷西謀殺案》是一部心理懸疑電影，藉聖荷西這個風光旖旎的地方，襯托人性的陰暗，讓觀眾得到巨大的反差和衝擊。  一間湖邊小屋、一對恩愛夫婦，透過生活化的情節、平實的對白展開故事，但美好的表象原來不堪一擊，一位好友的來訪，和諧溫馨的關係，頓生暗湧。玲的酸風醋雨、控制慾與語言殺傷力；阿欣的過份天真卻偏偏戮中這對夫妻的死穴；看似開朗其實壓抑的鄧突然覺得無法再忍耐......電影一方面把人性一層一層地剖開，逐步揭示每一個陰暗的內心；另一方面，電影也道出異鄉人在他鄉如何被孤寂侵蝕，繼而走錯往後每一步、做錯一次又一次的決定，最後付出沉重的代價。 ,片長：01時28分,懸疑/驚悚,,/code/media/movie/images/聖荷西謀殺案.jpg,4.1,2020-10-30,聖荷西謀殺案
88,劇情描述遭受校園霸凌的四名青少女意外擁有魔法巫術，然而有人為愛走火入魔濫用施法，惹出連串意外並鬧出人命，情況一發不可收拾....。,片長：01時34分,劇情,,/code/media/movie/images/入魔.jpg,2.1,2020-10-30,入魔
94,★ 第31屆東京國際影展競賽部門出品作品 ★ 改編自直木賞作家角田光代同名戀愛小說 ★ 《小小夜曲》新生代導演今泉力哉刻劃寫實現代愛情之作 ★ 獻給所有無法說出「喜歡」的人  28歲的山田光子（岸井雪乃 飾）在5個月前對守（成田凌 飾）一見鍾情，她的生活開始以守為重心。不論是工作中、半夜時，在任何情況下都以守為優先。即使工作岌岌可危，遭受朋友冷眼對待，她仍痴戀著守。  相較於光子如此熱切的愛意，守對她卻毫無愛意。對守而言，光子僅是個好相處的女孩。光子以留宿在守的家為契機，兩人的關係急速親近，但某天守突然失去聯繫…… ,片長：02時05分,,,/code/media/movie/images/愛情是什麼.jpg,4.4,2020-10-30,愛情是什麼
